threshold,tp,fp,tn,fn,recall,fpr,projected_precision
0.9561,427,1,499,73,0.854,0.002,0.6821086261980831
0.9548,430,1,499,70,0.86,0.002,0.6836248012718601
0.9537,431,1,499,69,0.862,0.002,0.6841269841269842
0.9534,432,1,499,68,0.864,0.002,0.6846275752773376
0.9532,433,1,499,67,0.866,0.002,0.685126582278481
0.9525,434,1,499,66,0.868,0.002,0.6856240126382306
0.9523,435,1,499,65,0.87,0.002,0.6861198738170347
0.9506,436,1,499,64,0.872,0.002,0.6866141732283465
0.9479,437,1,499,63,0.874,0.002,0.6871069182389937
0.9471,438,1,499,62,0.876,0.002,0.6875981161695447
0.9466,439,1,499,61,0.878,0.002,0.6880877742946708
0.9448,440,1,499,60,0.88,0.002,0.6885758998435055
0.9443,441,1,499,59,0.882,0.002,0.6890625
0.9402,442,1,499,58,0.884,0.002,0.6895475819032761
0.9348,443,1,499,57,0.886,0.002,0.690031152647975
0.9275,444,1,499,56,0.888,0.002,0.6905132192846035
0.9237,445,1,499,55,0.89,0.002,0.6909937888198758
0.9215,446,1,499,54,0.892,0.002,0.6914728682170542
0.9214,447,1,499,53,0.894,0.002,0.6919504643962848
0.9133,448,1,499,52,0.896,0.002,0.6924265842349305
0.9023,449,1,499,51,0.898,0.002,0.6929012345679013
0.8992,449,5,495,51,0.898,0.01,0.3109418282548476
0.8989,449,6,494,51,0.898,0.012,0.2732805842970176
0.89,450,6,494,50,0.9,0.012,0.2737226277372263
0.8899,451,6,494,49,0.902,0.012,0.2741641337386018
0.8582,452,6,494,48,0.904,0.012,0.27460510328068044
0.852,453,6,494,47,0.906,0.012,0.27504553734061926
0.8431,453,7,493,47,0.906,0.014,0.24539544962080173
0.8299,453,28,472,47,0.906,0.056,0.07518672199170125
0.8022,453,29,471,47,0.906,0.058,0.0727827763496144
0.7989,454,29,471,46,0.908,0.058,0.07293172690763053
0.7522,455,29,471,45,0.91,0.058,0.0730806296177321
0.5702,455,30,470,45,0.91,0.06,0.07081712062256809
0.4748,456,30,470,44,0.912,0.06,0.07096171802054156
0.4597,457,30,470,43,0.914,0.06,0.07110627042165864
0.4564,458,30,470,42,0.916,0.06,0.07125077784691973
0.439,459,30,470,41,0.918,0.06,0.07139524031731219
0.4351,460,30,470,40,0.92,0.06,0.07153965785381027
0.4205,461,30,470,39,0.922,0.06,0.07168403047737523
0.4201,462,30,470,38,0.924,0.06,0.07182835820895522
0.3966,463,30,470,37,0.926,0.06,0.07197264106948548
0.3921,464,30,470,36,0.928,0.06,0.0721168790798881
0.3861,465,30,470,35,0.93,0.06,0.07226107226107228
0.3694,465,31,469,35,0.93,0.062,0.07009345794392524
0.3633,466,31,469,34,0.932,0.062,0.07023360964581762
0.3521,467,31,469,33,0.934,0.062,0.07037371910789633
0.3341,468,31,469,32,0.936,0.062,0.07051378634925419
0.3329,469,31,469,31,0.938,0.062,0.07065381138897259
0.3311,470,31,469,30,0.94,0.062,0.07079379424612141
0.3237,471,31,469,29,0.942,0.062,0.07093373493975903
0.3173,472,31,469,28,0.944,0.062,0.07107363348893239
0.3074,473,31,469,27,0.946,0.062,0.0712134899126769
0.3053,474,31,469,26,0.948,0.062,0.07135330423001655
0.2989,475,31,469,25,0.95,0.062,0.07149307645996388
0.2832,476,31,469,24,0.952,0.062,0.07163280662151994
0.2789,477,31,469,23,0.954,0.062,0.07177249473367438
0.25,478,31,469,22,0.956,0.062,0.07191214081540544
0.2418,479,31,469,21,0.958,0.062,0.0720517448856799
0.2407,480,31,469,20,0.96,0.062,0.07219130696345313
0.2395,481,31,469,19,0.962,0.062,0.07233082706766918
0.2375,482,31,469,18,0.964,0.062,0.07247030521726056
0.2118,483,31,469,17,0.966,0.062,0.07260974143114854
0.2004,484,31,469,16,0.968,0.062,0.07274913572824289
0.1775,485,31,469,15,0.97,0.062,0.07288848812744214
0.177,486,31,469,14,0.972,0.062,0.07302779864763335
0.1653,487,31,469,13,0.974,0.062,0.0731670673076923
0.1433,488,31,469,12,0.976,0.062,0.07330629412648339
0.1401,489,31,469,11,0.978,0.062,0.07344547912285972
0.1378,489,32,468,11,0.978,0.064,0.07131398570803558
0.1284,490,32,468,10,0.98,0.064,0.07144940215806357
0.1221,491,32,468,9,0.982,0.064,0.07158477912232104
0.1121,492,32,468,8,0.984,0.064,0.0717201166180758
0.1027,493,32,468,7,0.986,0.064,0.07185541466258563
